model,feature,low_mean,low_std,high_mean,high_std,mean_diff,t_statistic,p_value,cohens_d,significant
GPT-5,avg_sentence_length,17.89698795180723,5.777117039580509,18.307588075880755,5.038818710963272,-0.4106001240735253,-1.1287453549434185,0.2593321381049918,-0.07574876110311315,False
GPT-5,word_count,20.057831325301205,5.765834571759603,20.483739837398375,5.7929853009085965,-0.42590851209716973,-1.104676360250781,0.26960155547984904,-0.0736939137101994,False
GPT-5,first_person_plural,0.024096385542168676,0.1820832336126512,0.03861788617886179,0.23105563755849862,-0.014521500636693115,-1.0568054949692844,0.29088364193416816,-0.06980965830596732,False
GPT-5,char_count,87.06987951807228,31.37495638144046,89.14024390243902,33.30925928945368,-2.0703643843667408,-0.9614081606708772,0.3366069372979382,-0.06398591327741324,False
GPT-5,math_term_count_per_100words,0.6878978629147923,2.403665770288941,0.5532923433721955,2.059179804203876,0.1346055195425968,0.895551686996019,0.37075501990135995,0.060143822223695555,False
GPT-5,verification_count,0.7132530120481928,0.47814175554383664,0.6869918699186992,0.5214830866768351,0.026261142129493598,0.7896240784423614,0.4299556276158749,0.052492678963228845,False
GPT-5,math_term_count,0.11566265060240964,0.3879143886766408,0.09959349593495935,0.3665925240057196,0.01606915466745029,0.6365935127969213,0.524558906246297,0.04257811798418978,False
GPT-5,avg_word_length,4.373961079197613,1.025278424619674,4.332182326942733,1.000699538577214,0.04177875225488048,0.6174298989135468,0.5371124216892127,0.041240012291472644,False
GPT-5,sentence_count,1.1903614457831326,0.43342693213680683,1.1727642276422765,0.42844737809153316,0.01759721814085613,0.6116825347281376,0.5409065488226786,0.040834085056897694,False
GPT-5,step_count,0.05301204819277108,0.37652096355902864,0.06910569105691057,0.44092107608217757,-0.016093642864139487,-0.5922608122872696,0.5538239134610208,-0.03925398826852464,False
GPT-5,unique_word_ratio,0.8284127794398647,0.10936289925219386,0.8243922669027535,0.10824004152229179,0.0040205125371112205,0.5535628264979728,0.5800192847871768,0.036952248871817236,False
GPT-5,step_count_per_100words,0.27007423633929656,1.9571195388873828,0.3137307306514624,2.0102527143992774,-0.04365649431216584,-0.330178605441889,0.7413430121398665,-0.022005789695060653,False
GPT-5,has_bullets,0.7036144578313253,0.45666306240165244,0.7113821138211383,0.4531198538538202,-0.007767655989812994,-0.2558301213468444,0.7981420025066072,-0.017075715411248023,False
GPT-5,restatement_count,0.0,0.0,0.0,0.0,0.0,,,0.0,False
GPT-5,first_person,0.0,0.0,0.0,0.0,0.0,,,0.0,False
GPT-5,exclamation_count,0.0,0.0,0.0,0.0,0.0,,,0.0,False
GPT-5,question_count,0.0,0.0,0.0,0.0,0.0,,,0.0,False
GPT-5,restatement_count_per_100words,0.0,0.0,0.0,0.0,0.0,,,0.0,False
GPT-5,first_person_per_100words,0.0,0.0,0.0,0.0,0.0,,,0.0,False
GPT-5,exclamation_count_per_100words,0.0,0.0,0.0,0.0,0.0,,,0.0,False
GPT-5,question_count_per_100words,0.0,0.0,0.0,0.0,0.0,,,0.0,False
Gemini 2.5 Flash,first_person,1.1714285714285715,1.299869171857529,0.13690476190476192,0.407162001777683,1.0345238095238096,15.663486272816206,4.3604561728511154e-45,1.074068405847204,True
Gemini 2.5 Flash,first_person_per_100words,2.8611049068333667,3.190245371353777,0.3609088399016846,1.1319806779487769,2.5001960669316823,15.261605827639524,1.5209975966867332e-43,1.0445153776157414,True
Gemini 2.5 Flash,meta_count,0.9428571428571428,0.9266280029128803,0.5615079365079365,0.7638837352949223,0.3813492063492063,6.731553679035916,3.1744092348075646e-11,0.4490880000680293,True
Gemini 2.5 Flash,step_count_per_100words,1.2942948900515467,1.8837816900419602,0.5785339467553257,1.3829928529300595,0.7157609432962211,6.461205984322231,1.8637898593934916e-10,0.43314656112600103,True
